committee,pagerank
Committee on Appropriations,0.0028896924107462653
Select Subcommittee on the Coronavirus Crisis,0.0012552301255254346
"Subcommittee on Housing, Community Development, and Insurance",0.0012552301255254346
House Committee on Education and Labor,0.0012552301255254346
Finance Committee,0.0012552301255254346
"Subcommittee on Investor Protection, Entrepreneurship, and Capital Markets",0.0012552301255254346
Homeland Security and Governmental Affairs,0.0012552301255254346
Subcommittee on Legislative and Financial Services,0.0012552301255254346
Subcommittee on State and Local Government,0.0012552301255254346
Subcommittee on National Security and International Trade and Finance,0.0012552301255254346
"Subcommittee on Housing, Transportation, and Community Development",0.0012552301255254346
Subcommittee on Financial Institutions and Regulatory Relief,0.0012552301255254346
"Subcommittee on Nutrition, Agricultural Research, and Specialty Crops",0.0012552301255254346
"Subcommittee on Conservation, Forestry, and Natural Resources",0.0012552301255254346
"Subcommittee on Commodities, Risk Management, and Trade",0.0012552301255254346
"Committee on Science, Space, and Technology",0.0012552301255254346
Subcommittee on Intelligence and Counterterrorism,0.0012552301255254346
"Banking, Housing, and Urban Affairs Committee",0.0012552301255254346
Subcommittee on Transportation and Infrastructure,0.0012552301255254346
Subcommittee on Space and Aeronautics,0.0012552301255254346
Subcommittee on Taxation and IRS Oversight,0.0012552301255254346
"Subcommittee on Social Security, Pensions, and Family Policy",0.0012552301255254346
Subcommittee on Health Care,0.0012552301255254346
Subcommittee on Aviation and Space,0.0012552301255254346
"Subcommittee on Oceans, Fisheries, Climate Change and Manufacturing",0.0012552301255254346
"Subcommittee on Consumer Protection, Product Safety, and Data Security",0.0012552301255254346
"Subcommittee on Communications, Technology, Innovation, and the Internet",0.0012552301255254346
Subcommittee on Water and Wildlife,0.0012552301255254346
"Subcommittee on Superfund, Waste Management, and Regulatory Oversight",0.0012552301255254346
"Subcommittee on Oversight, Management, and Accountability",0.0012552301255254346
Subcommittee on Clean Air and Nuclear Safety,0.0012552301255254346
"Committee on Commerce, Science, and Transportation",0.0012552301255254346
Armed Services,0.0012552301255254346
"Health, Employment, Labor, and Pensions",0.0012552301255254346
Higher Education and Workforce Investment,0.0012552301255254346
Finance,0.0012552301255254346
"Banking, Housing, and Urban Affairs",0.0012552301255254346
Subcommittee on Readiness,0.0012552301255254346
"Subcommittee on Europe, Eurasia, Energy, and the Environment",0.0012552301255254346
Rules and Administration Committee,0.0012552301255254346
Ways and Means Subcommittee on Oversight,0.0012552301255254346
"Agriculture, Nutrition, and Forestry Committee",0.0012552301255254346
Information Technology,0.0012552301255254346
Subcommittee on Energy and Mineral Resources,0.0012552301255254346
Aviation,0.0012552301255254346
Committee on Natural Resources,0.0012552301255254346
"Subcommittee on Europe, Eurasia, Energy and the Environment",0.0012552301255254346
"Subcommittee on Health, Employment, Labor, and Pensions",0.0012552301255254346
Foreign Affairs Committee,0.0012552301255254346
Housing and Community Opportunity,0.0012552301255254346
Coast Guard and Maritime Transportation,0.0012552301255254346
Highways and Transit,0.0012552301255254346
"Subcommittee on International Development, International Organizations and Global Corporate Social Impact",0.0012552301255254346
Committee on Financial Services,0.0012552301255254346
Indian Affairs,0.0012552301255254346
Energy and Natural Resources,0.0012552301255254346
Subcommittee on Oversight and Investigations,0.0012552301255254346
Water Resources and Environment,0.0012552301255254346
House Veterans' Affairs Committee,0.0012552301255254346
House Armed Services Committee,0.0012552301255254346
Oversight and Government Reform Committee,0.0012552301255254346
Ways and Means - Health,0.0012552301255254346
Ways and Means - Trade,0.0012552301255254346
"Subcommittee on National Parks, Forests, and Public Lands",0.0012552301255254346
"Subcommittee on Interior, Environment, and Related Agencies",0.0012552301255254346
Budget,0.0012552301255254346
Intelligence,0.0012552301255254346
Committee on Veterans' Affairs,0.0012552301255254346
Committee on Homeland Security,0.0012552301255254346
"Subcommittee on Economic Growth, Energy Policy, and Regulatory Affairs",0.0012552301255254346
"Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation",0.0012552301255254346
"Subcommittee on Border Security, Facilitation, and Operations",0.0012552301255254346
Subcommittee on National Security,0.0012552301255254346
Homeland Security,0.0012552301255254346
Subcommittee on Highways and Transit,0.0012552301255254346
"Transportation, Housing and Urban Development, and Related Agencies",0.0012552301255254346
Subcommittee on Transportation Security and Infrastructure Protection,0.0012552301255254346
"Subcommittee on Economic Development, Public Buildings and Emergency Management",0.0012552301255254346
Committee on Armed Services,0.0012552301255254346
"Interior, Environment, and Related Agencies",0.0012552301255254346
Legislative Branch,0.0012552301255254346
House Oversight and Reform Committee,0.0012552301255254346
"Energy and Water Development, and Related Agencies",0.0012552301255254346
"State, Foreign Operations, and Related Programs",0.0012552301255254346
Subcommittee on Research and Technology,0.0012552301255254346
Committee on Education and Labor,0.0012552301255254346
"National Security, International Development and Monetary Policy",0.0012552301255254346
