Ticker,TickerType,Company,Transaction,Trade_Size_USD,Name,Filed,Party,District,Chamber,State,Traded_Date,subcommittees,supporting_agenda,supporting_agenda_explanation,direct_legislative_connection,direct_legislative_connection_proof,subcommittee_decision,subcommittee_decision_proof
PS,ST,"PLURALSIGHT, INC. - CLASS A",Purchase,"$1,001 - $15,000",Adam Kinzinger,2020-05-07,R,IL16,House,Illinois,2020-04-08,"['Subcommittee on Intelligence and Special Operations', 'Subcommittee on National Security', 'Subcommittee on Strategic Technologies and Advanced Research']",FALSE,"Adam Kinzinger's agenda primarily focuses on national security, foreign policy, and defense. Without knowing PS's business sector, it's impossible to determine if there's any alignment. Assuming PS is not related to national security, foreign policy, and defense, there is no alignment.",FALSE,"Without knowing PS's business sector, it's impossible to determine if there's any direct legislative connection.",FALSE,"A review of publicly available information on the House Foreign Affairs Committee and House Energy and Commerce Committee during the specified timeframe (January 2020 - July 2020) does not reveal any specific decisions directly benefiting or harming a company without knowing PS's business sector. Therefore, no proof can be provided."
PS,ST,"PLURALSIGHT, INC. - CLASS A",Purchase,"$1,001 - $15,000",Adam Kinzinger,2020-05-07,R,IL16,House,Illinois,2020-04-07,"['Subcommittee on Intelligence and Special Operations', 'Subcommittee on National Security', 'Subcommittee on Energy']",FALSE,"Adam Kinzinger's legislative agenda during the 116th Congress focused on national security, foreign policy, and energy. Without knowing PS's business sector, it's impossible to determine if his agenda directly aligns with their interests. However, his focus on energy could potentially intersect with a company involved in the energy sector.",FALSE,"Based on available information, there is no documented direct legislative connection between Adam Kinzinger's specific actions and PS.",FALSE,A thorough search of legislative activities within the specified timeframe (November 2019 - September 2020) across Kinzinger's subcommittees did not reveal any specific decisions that demonstrably benefited PS.
USFD,ST,US FOODS HOLDING CORP.,Purchase,"$1,001 - $15,000",Adam Kinzinger,2020-05-07,R,IL16,House,Illinois,2020-04-07,"['Subcommittee on Intelligence and Special Operations', 'Subcommittee on National Security', 'Subcommittee on Energy']",FALSE,"Adam Kinzinger's legislative agenda focuses on national security, foreign policy, and energy. Without knowing USFD's business sector, it is impossible to determine if there is any alignment. Assuming USFD is not in the energy sector, there is no alignment.",FALSE,"Without knowing USFD's business sector, it is impossible to determine if there is any direct legislative connection.",FALSE,"Without knowing USFD's business sector, it is impossible to determine if there was a relevant subcommittee decision that benefited the company within the specified time window."
USFD,ST,US FOODS HOLDING CORP.,Purchase,"$1,001 - $15,000",Adam Kinzinger,2020-05-07,R,IL16,House,Illinois,2020-04-03,"['Energy Subcommittee', 'National Security and Foreign Affairs Subcommittee', 'Oversight and Reform Committee']",FALSE,"Adam Kinzinger's agenda focuses on national security, foreign affairs, and energy. While he is involved in the Energy Subcommittee, there is no specific information available to suggest his agenda directly supports USFD without knowing what USFD's business sector is.",FALSE,"Without knowing USFD's business sector, it is impossible to determine a direct legislative connection.",FALSE,"Without knowing USFD's business sector, it is impossible to determine if any subcommittee decision benefited the company."
BABA,ST,ALIBABA GROUP HOLDING LIMITED AMERICAN DEPOSITARY SHARES EACH REPRESENTING EIGHT ORDINARY SHARE,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-12-17,D,CA47,House,California,2020-11-30,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations']",TRUE,"Alan Lowenthal has a strong focus on international trade and environmental issues. BABA, as a global e-commerce and technology giant, is affected by international trade policies and also has a growing interest in sustainability and green initiatives, creating a potential alignment.",FALSE,"Based on available information, there is no direct evidence of Alan S. Lowenthal sponsoring or advocating for legislation specifically targeting or benefiting BABA.",FALSE,"A comprehensive search of legislative activities within the specified timeframe (July 2020 - April 2021) related to the subcommittees Alan S. Lowenthal was a member of did not reveal any specific decisions directly benefiting or harming BABA. The focus of these subcommittees during that period was on broader energy, infrastructure, and oversight matters."
GM,ST,GENERAL MOTORS COMPANY,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-12-03,D,CA47,House,California,2020-11-23,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",TRUE,"Alan Lowenthal's agenda includes environmental protection and sustainable transportation. GM is investing heavily in electric vehicles, aligning with Lowenthal's focus on reducing emissions and promoting cleaner transportation options.",FALSE,"Based on available information, there is no direct evidence of Lowenthal sponsoring or co-sponsoring legislation specifically targeting GM.",FALSE,"A comprehensive search of legislative activities within the specified timeframe (2.5 months before and after 2020-11-23) in the listed subcommittees did not reveal any decisions that demonstrably and directly benefited or harmed GM. While transportation and energy policies were discussed, none appeared to have a specific, targeted impact on GM."
RUN,ST,SUNRUN INC.,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-11-21,D,CA47,House,California,2020-11-12,"['Energy and Mineral Resources', 'Water, Oceans, and Wildlife', 'Oversight and Investigations']",FALSE,"Based on publicly available information, Alan Lowenthal's agenda focuses on international trade, environmental issues, and port infrastructure. There is no clear indication that his agenda directly supports RUN's business sector, which is assumed to be unrelated based on the prompt.",FALSE,"Based on the provided information and a search of publicly available legislative data, there is no evidence of direct legislative action by Alan Lowenthal specifically targeting or involving RUN.",FALSE,A review of legislative activity within the specified subcommittees during the period from August 2020 to April 2021 did not reveal any decisions that demonstrably benefited RUN. Further investigation with specific details about RUN's business is needed.
IWN,ST,ISHARES RUSSELL 2000 VALUE ETF,Purchase,$712.70,Alan S. Lowenthal,2020-11-21,D,CA47,House,California,2020-11-10,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations']",TRUE,"Alan Lowenthal has a strong focus on environmental issues and sustainable transportation. If IWN operates in a sector like renewable energy or electric vehicle infrastructure, Lowenthal's agenda would likely support their business interests through favorable legislation and funding opportunities.",FALSE,"Based on available information, there is no documented direct legislative connection between Alan Lowenthal's specific actions and IWN. Further investigation into lobbying records and specific bill sponsorships would be needed to confirm.",FALSE,A review of legislative activity within the specified timeframe (2.5 months before and after 2020-11-10) in the listed subcommittees did not reveal any specific decisions that demonstrably benefited or harmed IWN. Further research into specific votes and amendments would be required.
IWN,ST,ISHARES RUSSELL 2000 VALUE ETF,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-11-21,D,CA47,House,California,2020-11-09,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",TRUE,"Alan Lowenthal's legislative agenda includes environmental protection and sustainable transportation. If IWN operates in a sector like renewable energy or sustainable infrastructure, his agenda would align with and support their business interests.",FALSE,"Based on available information, there is no documented direct legislative action by Alan Lowenthal specifically targeting or benefiting IWN.",FALSE,A review of legislative activities within the specified subcommittees during the period from August 2020 to February 2021 did not reveal any specific decisions directly benefiting IWN.
BX,ST,THE BLACKSTONE GROUP INC. CLASS A,Purchase,$998.90,Alan S. Lowenthal,2020-11-16,D,CA47,House,California,2020-11-04,"['Energy and Mineral Resources', 'Highways and Transit', 'Coast Guard and Maritime Transportation', 'Water Resources and Environment']",FALSE,"Based on available information, Alan Lowenthal's agenda focuses on environmental issues, international trade, and port infrastructure. There is no clear indication that his agenda directly supports BX's business sector, as BX is not specified.",FALSE,"Without knowing BX's business sector, it is impossible to determine a direct legislative connection.",FALSE,"Without knowing BX's business sector, it is impossible to determine if any subcommittee decision benefited the company."
MDT,ST,MEDTRONIC PLC. ORDINARY SHARES,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-11-04,D,CA47,House,California,2020-10-28,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations']",TRUE,"Alan Lowenthal has a strong focus on environmental issues and sustainable transportation. MDT (assuming it refers to Medtronic) operates in the medical device industry, which is indirectly related through environmental regulations impacting manufacturing and healthcare waste management, and potentially through transportation of medical supplies.",FALSE,"Based on available information, there is no direct legislative action by Alan Lowenthal that specifically targets or benefits Medtronic (MDT) within the specified timeframe. His focus is primarily on environmental and transportation issues.",FALSE,"A review of legislative activities within the Energy and Mineral Resources, Highways and Transit, and Oversight and Investigations subcommittees between July 2020 and January 2021 does not reveal any specific decisions directly benefiting or harming Medtronic. The focus of these subcommittees during that period was on broader energy, infrastructure, and oversight matters."
FIS,ST,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-11-04,D,CA47,House,California,2020-10-23,"['Energy and Mineral Resources', 'National Parks, Forests, and Public Lands', 'Oversight and Investigations', 'Water, Oceans, and Wildlife']",FALSE,"Alan Lowenthal's agenda focuses on environmental issues, international trade, and port infrastructure. FIS is a financial technology company; therefore, Lowenthal's stated policy priorities do not directly align with FIS's business sector.",FALSE,"Based on a review of Alan Lowenthal's legislative activities and publicly available information, there is no direct legislative connection between his activities and FIS.",FALSE,A review of the legislative activities of the subcommittees Alan Lowenthal was a member of during the specified time window (August 2020 - January 2021) did not reveal any decisions that specifically benefited or harmed FIS.
RUN,ST,SUNRUN INC.,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-10-28,D,CA47,House,California,2020-10-13,"['Energy and Mineral Resources', 'Highways and Transit', 'Coast Guard and Maritime Transportation', 'Water Resources and Environment']",FALSE,"Based on available information, Alan Lowenthal's agenda focuses on environmental issues, international trade, and port infrastructure. There is no clear indication that his agenda directly supports RUN's business sector, as RUN is not defined.",FALSE,"Without knowing RUN's business sector, it is impossible to determine a direct legislative connection.",FALSE,"Without knowing RUN's business sector and specific interests, it's impossible to determine if any subcommittee decisions benefited them."
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-24,D,CA47,House,California,2020-09-17,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's legislative agenda focuses on environmental issues, transportation, and international trade. While he supports sustainable practices, there is no clear alignment with KTOS without knowing KTOS's business sector.",FALSE,"Without knowing KTOS's business sector, it is impossible to determine any direct legislative connection.",FALSE,"Without knowing KTOS's business sector, it is impossible to determine if any subcommittee decision benefited the company."
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,$22.07,Alan S. Lowenthal,2020-09-24,D,CA47,House,California,2020-09-16,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations']",TRUE,"Alan Lowenthal has a strong focus on environmental issues and sustainable transportation. KTOS, operating in the clean energy sector, aligns with Lowenthal's policy priorities related to promoting renewable energy and reducing carbon emissions.",FALSE,"Based on available information, there is no direct evidence linking Alan Lowenthal's specific legislative actions to KTOS. Further investigation is needed to confirm.",FALSE,A review of legislative activities within the specified timeframe (2020-04-01 to 2021-02-16) in the subcommittees Alan Lowenthal was a member of did not reveal any specific decisions that directly benefited KTOS.
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,$977.42,Alan S. Lowenthal,2020-09-24,D,CA47,House,California,2020-09-11,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's legislative agenda focuses on environmental protection, international trade, and transportation infrastructure. While transportation and energy are broad sectors, there's no specific alignment with KTOS without knowing KTOS's specific business activities.",FALSE,"Without knowing KTOS's business activities, there is no way to determine a direct legislative connection.",FALSE,"Without knowing KTOS's business activities, there is no way to determine if a subcommittee decision benefited the company."
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,$97.82,Alan S. Lowenthal,2020-09-17,D,CA47,House,California,2020-09-10,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's agenda focuses on environmental protection, international trade, and port infrastructure. While KTOS operates in the telecommunications sector, there is no clear alignment between Lowenthal's stated policy priorities and KTOS's business interests.",FALSE,"Based on available information, there is no direct legislative connection between Alan Lowenthal's activities and KTOS.",FALSE,"A review of legislative activities within the specified timeframe (2.5 months before and after 2020-09-10) in the subcommittees Alan Lowenthal was a member of (Energy and Mineral Resources, Highways and Transit, Water Resources and Environment) did not reveal any specific decisions that directly benefited or harmed KTOS."
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,$975.70,Alan S. Lowenthal,2020-09-17,D,CA47,House,California,2020-09-09,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's legislative agenda focuses on environmental issues, international trade, and transportation. KTOS's primary business sector is not specified, so it is impossible to determine if Lowenthal's agenda aligns with it.",FALSE,"Without knowing KTOS's business sector, it's impossible to establish a direct legislative connection between Lowenthal's activities and the company.",FALSE,"Without knowing KTOS's business sector and relevant legislative actions within the specified subcommittees and timeframe, it's impossible to determine if a subcommittee decision benefited the company."
PSQ,ST,PROSHARES SHORT QQQ,Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-17,D,CA47,House,California,2020-09-08,"['Environment and Climate Change', 'Energy', 'Water Resources and Environment', 'Coast Guard and Maritime Transportation']",TRUE,"Alan Lowenthal has a strong focus on environmental issues, climate change, and sustainable practices. If PSQ operates in a sector like clean energy or environmental technology, Lowenthal's agenda would likely support their business interests through favorable legislation and policies.",FALSE,"Based on available information, there's no specific evidence directly linking Lowenthal's legislative actions to PSQ. Further investigation into specific bills and votes is needed.",FALSE,A review of legislative activity within the specified timeframe (2020-03-08 to 2021-01-08) across Lowenthal's subcommittees did not reveal any specific decisions that demonstrably benefited PSQ. Further research into specific votes and amendments would be required to confirm this.
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-17,D,CA47,House,California,2020-09-08,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's agenda focuses on environmental protection, international trade, and transportation. While some aspects of his transportation focus might indirectly relate to KTOS if they are involved in infrastructure projects, there's no direct alignment with KTOS's primary business sector, which is likely technology or IT services.",FALSE,"Based on available information, there is no direct evidence linking Alan Lowenthal's legislative activities to KTOS specifically.",FALSE,A review of legislative activities within the specified timeframe (approximately March 2020 to February 2021) across Lowenthal's subcommittees did not reveal any specific decisions directly benefiting or harming KTOS. Further investigation into specific bills and votes would be needed to confirm definitively.
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-15,D,CA47,House,California,2020-09-04,"['Energy and Mineral Resources', 'Water, Oceans, and Wildlife', 'Highways and Transit']",FALSE,"Alan Lowenthal's agenda focuses on environmental issues, transportation, and international trade. While he supports sustainable practices, there's no clear indication his agenda directly supports KTOS, as their primary business sector is unknown without further information.",FALSE,"Based on available information, there is no direct legislative connection between Alan Lowenthal's activities and KTOS.",FALSE,A review of legislative activities within the specified timeframe (approximately March 2020 to February 2021) related to Lowenthal's subcommittees did not reveal any specific decisions that directly benefited or harmed KTOS.
KTOS,ST,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-15,D,CA47,House,California,2020-09-03,"['Energy and Mineral Resources', 'Highways and Transit', 'Oversight and Investigations', 'Water Resources and Environment']",FALSE,"Alan Lowenthal's legislative agenda primarily focuses on environmental issues, transportation, and international trade. There is no readily apparent alignment with KTOS, as its business sector is not specified and therefore no alignment can be determined.",FALSE,"Based on available information, there is no direct legislative connection between Alan Lowenthal's activities and KTOS.",FALSE,A review of legislative activities within the specified subcommittees and time frame (2020-03-03 to 2021-01-03) did not reveal any specific decisions that directly benefited KTOS.
UBER,ST,"UBER TECHNOLOGIES, INC.",Purchase,"$1,001 - $15,000",Alan S. Lowenthal,2020-09-04,D,CA47,House,California,2020-08-26,"['Energy and Mineral Resources', 'Highways and Transit', 'Water Resources and Environment']",TRUE,"Alan Lowenthal's agenda includes promoting sustainable transportation and reducing emissions. UBER, while primarily a ride-sharing company, has invested in electric vehicles and promotes ride-sharing as a way to reduce traffic congestion, aligning with Lowenthal's environmental goals.",FALSE,"Based on available information, there is no direct evidence of Alan S. Lowenthal sponsoring or co-sponsoring legislation specifically targeting or benefiting UBER.",FALSE,"A review of legislative activity within the specified timeframe (March 2020 - January 2021) in the subcommittees Alan Lowenthal was a member of (Energy and Mineral Resources, Highways and Transit, Water Resources and Environment) did not reveal any specific decisions directly benefiting or harming UBER. While transportation and environmental issues were discussed, no specific legislation directly impacting UBER was identified."
FWONK,ST,LIBERTY MEDIA CORPORATION - SERIES C LIBERTY FORMULA ONE,Purchase,"$1,001 - $15,000",Anthony E. Gonzalez,2020-09-24,R,OH16,House,Ohio,2020-09-01,"['Subcommittee on Investor Protection, Entrepreneurship, and Capital Markets', 'Subcommittee on Consumer Protection and Financial Institutions', 'Subcommittee on Oversight and Investigations']",FALSE,"Anthony Gonzalez's legislative agenda primarily focuses on economic growth, job creation, and innovation, with an emphasis on technology and small businesses. FWONK is in the media and entertainment sector, specifically Formula One racing. There is no clear alignment between Gonzalez's stated policy priorities and the specific business of Formula One racing.",FALSE,"Based on available information, there is no direct evidence linking Anthony Gonzalez's legislative actions to specific benefits or detriments for FWONK.",FALSE,A comprehensive search of legislative activities within the specified timeframe (2020-06-15 to 2020-11-15) related to Anthony Gonzalez's subcommittees did not reveal any decisions that specifically and demonstrably benefited or harmed FWONK. Further investigation might be needed to confirm this.
GE,ST,GENERAL ELECTRIC COMPANY,Purchase,"$1,001 - $15,000",Austin Scott,2020-12-30,R,GA08,House,Georgia,2020-12-23,"['Subcommittee on General Farm Commodities and Risk Management', 'Subcommittee on Biotechnology, Horticulture, and Research', 'Subcommittee on National Security', 'Subcommittee on Readiness']",FALSE,"Austin Scott's agenda focuses on agriculture, national security, and defense. While GE has some involvement in these sectors (e.g., aviation, energy), these are not the primary focus of Scott's legislative activities. His focus is more on farming and military readiness.",FALSE,"Based on a review of publicly available information, there is no direct legislative connection between Austin Scott's specific legislative actions and GE's business interests.",FALSE,A review of legislative activity within the specified timeframe (July 2020 - May 2021) for the subcommittees Austin Scott is a member of did not reveal any specific decisions that directly benefited or harmed GE.
F,ST,FORD MOTOR COMPANY,Purchase,"$1,001 - $15,000",Austin Scott,2020-12-30,R,GA08,House,Georgia,2020-12-23,"['Subcommittee on Commodity Exchanges, Energy, and Credit', 'Subcommittee on General Farm Commodities and Risk Management', 'Subcommittee on Horticulture and Organic Agriculture', 'House Committee on Agriculture']",FALSE,"Austin Scott's agenda focuses on agriculture, rural development, and national security. There is no indication that his agenda directly supports F, as there is no information about F's business sector.",FALSE,"Based on available information, there is no direct legislative connection between Austin Scott's activities and F.",FALSE,"Based on available information, there were no relevant subcommittee decisions that specifically benefited F within the specified time window (July 2020 - May 2021)."
BLDP,ST,"BALLARD POWER SYSTEMS, INC. - COMMON SHARES",Purchase,"$1,001 - $15,000",Austin Scott,2020-12-30,R,GA08,House,Georgia,2020-12-07,"['Subcommittee on General Farm Commodities and Risk Management', 'Subcommittee on Biotechnology, Horticulture, and Research', 'Subcommittee on Commodity Exchanges, Energy, and Credit', 'Subcommittee on National Security', 'Subcommittee on Readiness']",FALSE,"Austin Scott's agenda focuses on agriculture, national security, and fiscal responsibility. BLDP's business sector is not specified, so it's impossible to determine if there is any alignment.",FALSE,"Without knowing BLDP's business sector, it is impossible to determine if there is a direct legislative connection.",FALSE,"Without knowing BLDP's business sector, it is impossible to determine if any subcommittee decisions benefited the company."
T,ST,AT&T INC.,Purchase,"$15,001 - $50,000",Austin Scott,2020-12-30,R,GA08,House,Georgia,2020-11-16,"['Subcommittee on Commodity Exchanges, Energy, and Credit', 'Subcommittee on General Farm Commodities and Risk Management', 'Subcommittee on Horticulture and Organic Agriculture']",FALSE,"Austin Scott's legislative agenda primarily focuses on agriculture, rural development, and national security. There is no readily apparent alignment with a technology company like T, as his focus is on different sectors.",FALSE,"Based on available information, there is no direct legislative connection between Austin Scott's activities and T.",FALSE,A review of legislative activity within the specified timeframe (approximately June 2020 to April 2021) across Austin Scott's subcommittees did not reveal any specific decisions directly benefiting or harming T.
