politican_1,politican_2,legislative_collaboration,num_common_sponership_compaines_tickets,common_116_congress_committees,legislative_collaboration_evidence
Adam Kinzinger,Lois Frankel,True,0,[],H.Res.41 (Recognizing the significance of the 30th anniversary of the Americans with Disabilities Act.)
Adam Kinzinger,Mark Green,True,0,"[""Foreign Affairs"", ""Homeland Security""]",H.Res. 874: Condemning Russian malign efforts to undermine United States democratic institutions and processes.
Adam Kinzinger,"McConnell, A. Mitchell Jr.",True,0,[],"Both were involved in S.Res.488: A resolution condemning the Government of Iran’s state-sponsored attacks on United States assets and allies and expressing support for the Iranian people’s demands for freedom, justice, and human rights."
Adam Kinzinger,Michael Garcia,False,0,[],
Adam Kinzinger,Michael K. Simpson,True,0,[],H.R.4863
Adam Kinzinger,Mikie Sherrill,True,0,"[""Energy and Commerce Committee""]",H.Res.496
Adam Kinzinger,Michael Patrick Guest,True,0,"[""Homeland Security""]",H.Res. 246
Adam Kinzinger,Mo Brooks,True,0,[],"H.Res.41 (116th Congress) - Recognizing the 100th anniversary of the 19th Amendment to the Constitution of the United States, guaranteeing women the right to vote."
Adam Kinzinger,"Moran, Jerry",True,0,[],"Both were co-sponsors of H.R.499, the Fallen Warrior Battlefield Cross Memorial Act."
Adam Kinzinger,"Perdue, David",False,0,[],
Adam Kinzinger,Nancy Pelosi,False,0,[],
Adam Kinzinger,Raúl M. Grijalva,True,0,[],H.Res.1374
Adam Kinzinger,Peter Welch,True,0,"[""Energy and Commerce Committee""]",H.Res.1374: Recognizing the 75th anniversary of the end of World War II.
Adam Kinzinger,"Peters, Gary",True,0,[],H.R.4782 - Advancing Broadband Connectivity Act of 2019
Adam Kinzinger,Richard W. Allen,True,0,[],"H.R.4975 - To designate the facility of the United States Postal Service located at 10 East Miller Street in Spring Valley, Illinois, as the ""Adam Kinzinger Post Office Building."""
Adam Kinzinger,"Roberts, Pat",True,0,[],H.R.499
Adam Kinzinger,Robert E. Latta,True,0,"[""Energy and Commerce Committee""]",H.R.4781
Adam Kinzinger,Robert J. Wittman,True,0,"[""Energy and Commerce Committee""]",H.R.5515 - Taiwan Fellowship Act
Adam Kinzinger,Rick Larsen,True,0,"[""Energy and Commerce Committee""]",H.Res.783 - Recognizing the importance of the United States-Canada relationship and the need for continued close coordination and cooperation between the two countries to address the COVID-19 pandemic.
Adam Kinzinger,"Sullivan, Dan",True,0,[],"Both were co-sponsors of S.Res.478: A resolution designating November 2019 as ""National Pancreatic Cancer Awareness Month""."
Adam Kinzinger,Roger W. Marshall,True,0,[],H.R.4991 - To amend the Federal Crop Insurance Act to allow producers to report prevented planting acreage in a subsequent crop year under certain circumstances.
Adam Kinzinger,Susan A. Davis,True,0,"[""Energy and Commerce"", ""House Armed Services""]",H.Res.330
Adam Kinzinger,Susan W. Brooks,True,0,"[""Energy and Commerce Committee""]",H.Res.875
Adam Kinzinger,Susie Lee,True,0,"[""Energy and Commerce Committee""]",Both were co-sponsors of H.R.5395 - Fallen Warrior Battlefield Cross Memorial Act
Adam Kinzinger,Suzan K. Delbene,True,0,"[""Energy and Commerce Committee""]","Both were co-sponsors of H.R. 499, the Open Book on Equal Access to Justice Act."
Adam Kinzinger,Thomas Suozzi,True,0,[],H.Res.418
Adam Kinzinger,Tom Malinowski,True,0,"[""Foreign Affairs""]","Both representatives co-sponsored H.Res. 820, condemning QAnon and rejecting the conspiracy theories it promotes."
Adam Kinzinger,Tom Rice,True,0,[],Both Representatives co-sponsored H.R.5395 - Fallen Warrior Battlefield Cross Memorial Act.
Adam Kinzinger,"Toomey, Pat",True,0,[],H.R.4992 - Energy Sector Innovation Credit Act of 2019
Adam Kinzinger,"Toomey, Patrick",True,0,[],Both were co-sponsors of S.Res.506: A resolution expressing the sense of the Senate that the United States should advocate for the immediate release of Trevor Reed from wrongful detention by the Government of the Russian Federation.
Adam Kinzinger,Virginia Foxx,True,0,[],"Both Representatives co-sponsored H.R.499, the Block Grant Flexibility Act."
Adam Kinzinger,"Whitehouse, Sheldon",True,0,[],"Both were co-sponsors of H.Res. 246, which condemns anti-Semitism."
Adam Kinzinger,Warren Davidson,True,0,[],H.Res. 874: Expressing the sense of the House of Representatives that the United States should work to increase the number of countries that are members of the Artemis Accords.
Adam Kinzinger,W. Greg Steube,True,0,[],H.Res.41 (Recognizing the 100th anniversary of the establishment of diplomatic relations between the United States and the Republic of Poland)
Adam Kinzinger,"Wicker, Roger",True,0,"[""Energy and Commerce Committee"", ""Foreign Affairs Committee""]","They co-sponsored H.R.499, the Protect Privacy Act of 2019."
Adam Kinzinger,"Wyden, Ron",True,0,[],H.R.4992 - Cyber Diplomacy Act of 2019
Adam Kinzinger,Zoe Lofgren,True,0,[],H.Res.1379
Adam Kinzinger,William R. Timmons Iv,True,0,[],H.Res.774
Alan S. Lowenthal,Austin Scott,True,0,[],H.Res.676
Alan S. Lowenthal,Bob Gibbs,True,0,"[""Transportation and Infrastructure""]",H.R.5434 - Maritime Transportation Security Act of 2019
Alan S. Lowenthal,Anthony E. Gonzalez,True,0,"[""Transportation and Infrastructure"", ""Foreign Affairs""]",H.R.5434 - To amend the Internal Revenue Code of 1986 to extend the funding rate for deficit reduction.
Alan S. Lowenthal,Brian Higgins,True,0,"[""Ways and Means"", ""Transportation and Infrastructure""]","Both co-sponsored H.Res. 246, Recognizing the 100th anniversary of the founding of the Communist Party of China."
Alan S. Lowenthal,Brian Mast,True,0,[],H.Res.834
Alan S. Lowenthal,Carol Devine Miller,True,0,"[""Transportation and Infrastructure""]",H.R.1423
Alan S. Lowenthal,"Capito, Shelley Moore",True,0,[],H.R.4784: Coastal Communities Ocean Acidification Act of 2019
Alan S. Lowenthal,"Carper, Thomas R.",True,0,"[""House Committee on Transportation and Infrastructure"", ""Senate Committee on Environment and Public Works""]",H.R.5434: Plastic Waste Reduction and Recycling Act
Alan S. Lowenthal,Cheri Bustos,True,0,[],H.Res.841
Alan S. Lowenthal,"Cassidy, Bill",True,0,[],H.R.1505 - Dignity for Fallen Servicemembers Act
Alan S. Lowenthal,Christopher L. Jacobs,True,0,[],H.R.1423 - COAST Anti-Smuggling Act of 2019
Alan S. Lowenthal,Cindy Axne,True,0,"[""Agriculture"", ""Agriculture - Commodity Exchanges, Energy, and Credit"", ""Agriculture - Nutrition and Oversight"", ""Transportation and Infrastructure""]",H.Res.65
Alan S. Lowenthal,Daniel Crenshaw,True,0,"[""Foreign Affairs""]",H.Res. 878
Alan S. Lowenthal,Daniel Meuser,True,0,"[""Transportation and Infrastructure""]",H.R.5434
Alan S. Lowenthal,David B. Mckinley,True,0,"[""Energy and Commerce Committee""]",H.R.5434
Alan S. Lowenthal,David P. Joyce,True,0,[],H.R.5434 - Chemical интерdiction and Counter-proliferation Act of 2020
Alan S. Lowenthal,David E. Price,True,0,"[""Appropriations"", ""Foreign Affairs""]",H.R.5434
Alan S. Lowenthal,David Cheston Rouzer,True,0,"[""Transportation and Infrastructure""]",H.R.4996 - Ocean Pollution Reduction Act
Alan S. Lowenthal,David Trone,True,0,"[""Foreign Affairs"", ""Transportation and Infrastructure""]",H.R.1595 - SAFE Banking Act of 2019
Alan S. Lowenthal,Debbie Wasserman Schultz,True,0,"[""Transportation and Infrastructure"", ""Foreign Affairs""]",H.Res.330
Alan S. Lowenthal,Dean Phillips,True,0,[],H.Res. 797
Alan S. Lowenthal,Debbie Dingell,True,0,"[""Energy and Commerce Committee""]",H.R.5430 United States-Mexico-Canada Agreement Implementation Act
Alan S. Lowenthal,Donald Sternoff  Beyer Jr,True,0,"[""Ways and Means"", ""Natural Resources""]",H.Res.418
Alan S. Lowenthal,Donald Sternoff Beyer Jr,True,0,"[""Ways and Means"", ""Natural Resources""]",H.Res.414
Alan S. Lowenthal,Earl Blumenauer,True,0,"[""Ways and Means"", ""Transportation and Infrastructure""]",H.R.5434 - Plastic Waste Reduction and Recycling Act
Alan S. Lowenthal,Dwight Evans,True,0,"[""Transportation and Infrastructure"", ""Energy and Commerce""]",H.R.5687
Alan S. Lowenthal,Ed Perlmutter,True,0,"[""Foreign Affairs"", ""Transportation and Infrastructure""]",H.R.1423 - Coastal and Marine Economies Act of 2019
Alan S. Lowenthal,Garret Graves,True,0,"[""Transportation and Infrastructure""]",H.R.5434
Alan S. Lowenthal,Gilbert Cisneros,True,0,[],H.Res.493
Alan S. Lowenthal,Harley E. Rouda Jr.,True,0,"[""Oversight and Reform""]",H.Res.475
Alan S. Lowenthal,Greg Gianforte,True,0,[],"H.R.5434 - To designate the facility of the United States Postal Service located at 23 Genesee Street in Hornell, New York, as the ""Zachary Smith Post Office""."
Alan S. Lowenthal,James E Hon Banks,True,0,[],H.R.5395 - To amend the Internal Revenue Code of 1986 to extend and modify the credit for carbon oxide sequestration.
Alan S. Lowenthal,"Hoeven, John",True,0,[],"Both were co-sponsors of H.Res. 418, Recognizing the significance of the designation of June 2019 as ""National Ocean Month"", and supporting the goals and ideals of National Ocean Month."
Alan S. Lowenthal,James E. Banks,False,0,[],
Alan S. Lowenthal,James French Hill,True,0,[],H.Res.783
Alan S. Lowenthal,James R. Langevin,True,0,[],H.Res.84
Alan S. Lowenthal,Joe Courtney,True,0,"[""Natural Resources"", ""Armed Services""]",H.Res.65
Alan S. Lowenthal,John Curtis,True,0,[],"H.R.5434 - To direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes."
Alan S. Lowenthal,John A. Yarmuth,True,0,"[""Oversight and Reform""]","H.Res.874 - Recognizing the threat posed by the People's Republic of China's policy of promoting its 'One Belt, One Road' initiative."
Alan S. Lowenthal,Josh Gottheimer,True,0,"[""Transportation and Infrastructure""]",H.Res.415
Alan S. Lowenthal,John Rutherford,True,0,"[""Transportation and Infrastructure""]",H.R.5541: Coastal and Marine Economies Protection Act
Alan S. Lowenthal,K. Michael Conaway,True,0,[],H.Res.86
Alan S. Lowenthal,Justin Amash,True,0,"[""Committee on Oversight and Reform""]",H.R.7591 - Amending the Expedited Funds Availability Act to clarify that the Act does not apply to territories of the United States.
Alan S. Lowenthal,Katherine M. Clark,True,0,[],H.Res.355
Alan S. Lowenthal,Kathy Castor,True,0,"[""Energy and Commerce Committee""]",H.Res.366
Alan S. Lowenthal,Kevin Hern,True,0,[],H.Res.874
Alan S. Lowenthal,"King, Angus",True,0,[],Both co-sponsored H.R.5545 - Coastal Communities Ocean Acidification Act of 2019.
Alan S. Lowenthal,Lloyd Doggett,True,0,"[""Ways and Means"", ""Natural Resources""]",H.R.1420
Alan S. Lowenthal,"Loeffler, Kelly",True,0,[],H.Res.862
Alan S. Lowenthal,Lois Frankel,True,0,"[""Transportation and Infrastructure"", ""Foreign Affairs""]",H.Res.330
Alan S. Lowenthal,Mark Dr Green,True,0,[],"Both co-sponsored H.R.5434 - To amend the Internal Revenue Code of 1986 to extend the funding source for the Oil Spill Liability Trust Fund, and for other purposes."
Alan S. Lowenthal,"McConnell, A. Mitchell Jr.",True,0,[],H.R.1140: Merchant Marine Academy Improvement Act of 2019
Alan S. Lowenthal,Michael Garcia,True,0,[],H.R.925 - Heroes Act
Alan S. Lowenthal,Mark Green,True,0,[],H.Res. 246
Alan S. Lowenthal,Michael K. Simpson,True,0,[],H.R.1423 - Grand Canyon National Park Centennial Commemorative Coin Act
Alan S. Lowenthal,Michael Patrick Guest,True,0,[],H.Res.779
Alan S. Lowenthal,Mikie Sherrill,True,0,[],H.Res.874
Alan S. Lowenthal,Mo Brooks,True,0,[],H.R.1140
Alan S. Lowenthal,"Moran, Jerry",True,0,[],H.Res.862
Alan S. Lowenthal,"Perdue, David",True,0,[],H.Res.51
Alan S. Lowenthal,Nancy Pelosi,True,0,[],H.R.5038 - United States-Mexico-Canada Agreement Implementation Act
Alan S. Lowenthal,Peter Welch,True,0,[],H.R.5434
Alan S. Lowenthal,"Peters, Gary",False,0,[],
Alan S. Lowenthal,Raúl M. Grijalva,True,0,"[""Natural Resources""]",H.R.5434 - Southern California Clean Transportation Act
Alan S. Lowenthal,Rick Larsen,True,0,"[""Transportation and Infrastructure""]",H.R.5434
Alan S. Lowenthal,Richard W. Allen,True,0,[],"H.R.5599 - To designate the facility of the United States Postal Service located at 103 West Main Street in McLain, Mississippi, as the ""Corporal Gene Cole Post Office Building""."
Alan S. Lowenthal,Robert E. Latta,True,0,"[""Energy and Commerce Committee""]","H.R.4996 - Combating the незаконно, Unreported and Unregulated (IUU) Fishing Act of 2019"
Alan S. Lowenthal,"Roberts, Pat",True,0,[],H.Res.415
Alan S. Lowenthal,Roger W. Marshall,True,0,[],H.R.5434
Alan S. Lowenthal,Robert J. Wittman,True,0,"[""Natural Resources"", ""Armed Services""]","H.R.1146 - To prohibit seismic activities in the Outer Continental Shelf of the Atlantic Ocean, and for other purposes."
Alan S. Lowenthal,"Sullivan, Dan",True,0,[],Both were co-sponsors of S.Res.478: A resolution recognizing the importance of the Arctic region to the future of the United States and reaffirming the commitment of the Senate to protect United States interests in the Arctic.
Alan S. Lowenthal,Susan A. Davis,True,0,"[""Education and Labor"", ""Natural Resources""]",H.Res.41
Alan S. Lowenthal,Susan W. Brooks,True,0,"[""Energy and Commerce Committee""]",H.R.1418 - Safe Line Act
Alan S. Lowenthal,Susie Lee,True,0,"[""Transportation and Infrastructure"", ""Water Resources and Environment""]",H.Res. 246
Alan S. Lowenthal,Thomas Suozzi,True,0,"[""Transportation and Infrastructure"", ""Ways and Means""]",H.R.5434
Alan S. Lowenthal,Suzan K. Delbene,True,0,"[""Ways and Means"", ""Transportation and Infrastructure""]","H.R.5434 - To amend the Internal Revenue Code of 1986 to extend the funding source for the Oil Spill Liability Trust Fund, co-sponsored by both."
Alan S. Lowenthal,Tom Malinowski,True,0,"[""Committee on Foreign Affairs""]",H.Res. 834
Alan S. Lowenthal,Tom Rice,True,0,[],"H.R.5434 - To designate the facility of the United States Postal Service located at 1350 West Bay Avenue in Newport Beach, California, as the ""Michelle Steel Post Office""."
Alan S. Lowenthal,"Toomey, Patrick",False,0,[],
Alan S. Lowenthal,"Toomey, Pat",False,0,[],
Alan S. Lowenthal,W. Greg Steube,True,0,[],H.Res.414
Alan S. Lowenthal,Virginia Foxx,True,0,"[""Education and Labor""]",H.Res.414
Alan S. Lowenthal,Warren Davidson,True,0,[],H.Res.676
Alan S. Lowenthal,"Wicker, Roger",False,0,[],
Alan S. Lowenthal,"Whitehouse, Sheldon",True,0,[],H.R.5545: Coastal Communities Ocean Acidification Act of 2020
Alan S. Lowenthal,William R. Timmons Iv,True,0,[],H.Res.784
Alan S. Lowenthal,"Wyden, Ron",True,0,[],Both co-sponsored H.R.5434 - No Taxpayer Funding for Congregate Care Act
Alan S. Lowenthal,Zoe Lofgren,True,0,"[""Committee on Transportation and Infrastructure"", ""Committee on Science, Space, and Technology""]",H.Res.414
Anthony E. Gonzalez,Bob Gibbs,True,0,"[""Transportation and Infrastructure""]",H.R.5404 - Great Lakes Restoration Initiative Act of 2019
Anthony E. Gonzalez,Austin Scott,True,0,"[""Financial Services"", ""Agriculture""]","H.R.5404 - Supporting the designation of the week of November 15, 2020, as ""National Deal Week""."
Anthony E. Gonzalez,"Capito, Shelley Moore",True,0,[],H.R.4992: Promoting Alzheimer's Awareness to Prevent Elder Abuse Act of 2019
Anthony E. Gonzalez,Brian Higgins,True,0,"[""Ways and Means""]",H.Res. 24 (116th Congress): Recognizing the significance of the 25th anniversary of the Family and Medical Leave Act of 1993.
Anthony E. Gonzalez,Carol Devine Miller,True,0,"[""Committee on Science, Space, and Technology""]",H.R.1418 - Fallen Warrior Battlefield Cross Memorial Act
Anthony E. Gonzalez,Brian Mast,True,0,[],H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,"Carper, Thomas R.",False,0,[],
Anthony E. Gonzalez,Cheri Bustos,True,0,[],Both Gonzalez and Bustos co-sponsored H.R.1418 - Investing in American Infrastructure Act
Anthony E. Gonzalez,"Cassidy, Bill",True,0,[],Both Gonzalez and Cassidy co-sponsored H.R.5823 - Supporting the Accurate Inclusion of Broadband in State Broadband Mapping Act
Anthony E. Gonzalez,Cindy Axne,True,0,"[""Agriculture"", ""Financial Services""]",H.R.1423 - Rural Broadband Expansion Act of 2019
Anthony E. Gonzalez,Christopher L. Jacobs,True,0,"[""House Committee on Armed Services""]",H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,Daniel Crenshaw,True,0,"[""Science, Space, and Technology"", ""Homeland Security""]",H.R.5663 - Dignity for Fallen Military Heroes Act
Anthony E. Gonzalez,Daniel Meuser,True,0,[],Both Gonzalez and Meuser co-sponsored H.R.1418 - Investing in American Infrastructure Act.
Anthony E. Gonzalez,David B. Mckinley,True,0,"[""Committee on Science, Space, and Technology""]",H.R.5404 - Promoting Digital Privacy Technologies Act
Anthony E. Gonzalez,David Cheston Rouzer,True,0,[],"H.R.5404: Supporting the designation of the week of September 20, 2020, as National Clean Energy Week."
Anthony E. Gonzalez,David E. Price,True,0,[],H.R.1418 - Safe Connections Act of 2019
Anthony E. Gonzalez,David P. Joyce,True,0,"[""Financial Services"", ""Science, Space, and Technology""]",H.R.4996 - Promoting Innovation in Pipeline Development Act of 2019
Anthony E. Gonzalez,Dean Phillips,True,0,[],H.Res.878
Anthony E. Gonzalez,David Trone,True,0,[],H.R.1418 - Veterans Treatment Court Coordination Act of 2019
Anthony E. Gonzalez,Debbie Wasserman Schultz,True,0,[],H.Res.875
Anthony E. Gonzalez,Debbie Dingell,True,0,"[""Energy and Commerce Committee""]",H.R.5195 - To amend title XVIII of the Social Security Act to provide for coverage under the Medicare program of certain opioid use disorder treatment services furnished by opioid treatment programs.
Anthony E. Gonzalez,Donald Sternoff  Beyer Jr,True,0,[],H.Res.676
Anthony E. Gonzalez,Donald Sternoff Beyer Jr,True,0,"[""Committee on Ways and Means""]",H.R.1423 - EMIT Act
Anthony E. Gonzalez,Earl Blumenauer,True,0,[],H.R.1418 - Safe Routes to School Act of 2019
Anthony E. Gonzalez,Dwight Evans,True,0,[],H.R.1423 - Investing in American Workers Act of 2019
Anthony E. Gonzalez,Garret Graves,True,0,"[""Transportation and Infrastructure""]",H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,Ed Perlmutter,True,0,[],"Both co-sponsored H.R.1423, the Preventing Crimes Against Veterans Act of 2019."
Anthony E. Gonzalez,Gilbert Cisneros,True,0,[],H.Res.784
Anthony E. Gonzalez,Greg Gianforte,True,0,[],H.R.5663 - Protecting American Innovation Act
Anthony E. Gonzalez,"Hoeven, John",True,0,[],Both Gonzalez and Hoeven co-sponsored H.R.1418 - Investing in American Energy Act
Anthony E. Gonzalez,James E. Banks,True,0,[],H.R.1418 - Investing in Opportunity Act
Anthony E. Gonzalez,James E Hon Banks,True,0,[],Both co-sponsored H.R.1418 - Investing in American Workers Act of 2019.
Anthony E. Gonzalez,Harley E. Rouda Jr.,True,0,"[""Oversight and Reform""]","H.R.5404 - To designate the facility of the United States Postal Service located at 1101 Davis Street in Evanston, Illinois, as the ""Abner J. Mikva Post Office Building""."
Anthony E. Gonzalez,James R. Langevin,True,0,[],H.Res.783
Anthony E. Gonzalez,James French Hill,True,0,"[""Financial Services Committee""]",H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,Joe Courtney,True,0,[],H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,John A. Yarmuth,True,0,[],H.R.1500 - Consumers First Act
Anthony E. Gonzalez,John Curtis,True,0,[],Both Representatives co-sponsored H.R.5534 - Telehealth Innovation and Improvement Act of 2020.
Anthony E. Gonzalez,Josh Gottheimer,True,0,[],H.R.1418 - Safeguarding America’s First Responders Act of 2019
Anthony E. Gonzalez,John Rutherford,True,0,"[""Transportation and Infrastructure""]",H.Res. 840
Anthony E. Gonzalez,K. Michael Conaway,True,0,[],Both Gonzalez and Conaway co-sponsored H.R.5405 - Broadband Data Improvement Act of 2019.
Anthony E. Gonzalez,Justin Amash,True,0,"[""Committee on Oversight and Reform""]",H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,Katherine M. Clark,True,0,[],H.R.925 - HEROES Act
Anthony E. Gonzalez,Kathy Castor,True,0,"[""Energy and Commerce Committee""]",H.Res. 878
Anthony E. Gonzalez,Kevin Hern,True,0,"[""Science, Space, and Technology"", ""Small Business""]",H.R.6395 - William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021
Anthony E. Gonzalez,Lloyd Doggett,False,0,[],
Anthony E. Gonzalez,"Loeffler, Kelly",False,0,[],
Anthony E. Gonzalez,"King, Angus",True,0,[],H.R.5378 - Protecting Access to Post-COVID-19 Telehealth Act of 2020
Anthony E. Gonzalez,Lois Frankel,True,0,[],H.R.5404 - Holocaust Insurance Accountability Act of 2019
Anthony E. Gonzalez,Mark Green,True,0,[],H.R.4992 - Promoting Alzheimer's Awareness to Prevent Elder Abuse Act
Anthony E. Gonzalez,"McConnell, A. Mitchell Jr.",True,0,[],H.R.920 - To amend the Internal Revenue Code of 1986 to extend the funding rate for pension plans.
Anthony E. Gonzalez,Mark Dr Green,True,0,[],Both Gonzalez and Green co-sponsored H.R.5823 - To amend the Internal Revenue Code of 1986 to allow a credit against tax for amounts paid or incurred by an employer for providing paid family and medical leave to its employees.
Anthony E. Gonzalez,Michael K. Simpson,True,0,[],H.R.1418 - BUILD Act of 2019
Anthony E. Gonzalez,Michael Garcia,True,0,[],"Both Gonzalez and Garcia co-sponsored H.R.7384 - Supporting the designation of the week of September 20, 2020, as ""National Clean Energy Week""."
Anthony E. Gonzalez,Michael Patrick Guest,True,0,"[""Committee on Homeland Security""]",H.R.1418 - Investing in American Disaster Relief Act of 2019
Anthony E. Gonzalez,Mikie Sherrill,True,0,"[""Science, Space, and Technology""]","H.R.5717 - Supporting the designation of February 2020 as ""Career and Technical Education Month""."
